сategory;product;protein;fat;carbohydrates
ягоды и фрукты;Абрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе;0.6;0.0;23.3
ягоды и фрукты;Абрикосы замороженные подслащенные;0.7;0.1;22.9
ягоды и фрукты;Абрикосы сушеные;3.4;0.5;55.3
ягоды и фрукты;Абрикосы сушеные (дегидрированные), сульфитированные, неприготовленные;4.9;0.6;82.9
ягоды и фрукты;Абрикосы сушеные (дегидрированные), сульфитированные, тушеные;1.9;0.2;32.6
ягоды и фрукты;Абрикосы сушеные (курага), тушеные без сахара;1.2;0.2;19.6
ягоды и фрукты;Абрикосы сушеные (курага), тушеные с сахаром;1.2;0.2;25.2
ягоды и фрукты;Абрикосы сушеные с косточкой (урюк);5.0;0.4;53.0
ягоды и фрукты;Абрикосы, консервированные (половинки или кусочки);0.5;0.0;21.0
ягоды и фрукты;Абрикосы, консервированные в водной заливке;0.7;0.2;4.8
ягоды и фрукты;Абрикосы, консервированные в легком сахарном сиропе;0.5;0.1;14.9
ягоды и фрукты;Абрикосы, консервированные в насыщенном сахарном сиропе;0.6;0.1;19.2
ягоды и фрукты;Абрикосы, консервированные в экстра-легком сахарном сиропе;0.6;0.1;10.9
ягоды и фрукты;Авокадо;2.0;16.4;5.4
ягоды и фрукты;Айва;0.6;0.4;10.6
ягоды и фрукты;Айвовый компот. Консервы;0.4;0.3;19.7
ягоды и фрукты;Аки;1.0;15.0;8.0
ягоды и фрукты;Актинидия (дальневосточное киви);0.0;0.0;13.0
ягоды и фрукты;Алыча;0.2;0.1;7.4
ягоды и фрукты;Ананас;0.4;0.2;11.3
ягоды и фрукты;Ананас замороженный, подслащенный;0.4;0.1;21.1
ягоды и фрукты;Ананас консервированный;0.1;0.1;14.0
ягоды и фрукты;Ананас, все сорта;0.5;0.1;11.7
ягоды и фрукты;Ананас, консервированный в водной заливке;0.4;0.1;7.5
ягоды и фрукты;Ананас, консервированный в легком сахарном сиропе;0.4;0.1;12.7
ягоды и фрукты;Ананас, консервированный в насыщенном сахарном сиропе;0.4;0.1;19.4
ягоды и фрукты;Ананас, консервированный в собственном соку;0.5;0.1;14.3
ягоды и фрукты;Ананас, консервированный в экстра-насыщенном сахарном сиропе;0.3;0.1;20.7
ягоды и фрукты;Ананас, несладкие сорта;0.6;0.1;11.8
ягоды и фрукты;Ананас, сладкие сорта;0.5;0.1;12.1
ягоды и фрукты;"Аннона сетчатая (кремовое яблоко, ""бычье сердце"")";1.7;0.6;22.8
ягоды и фрукты;Апельсин;0.9;0.2;8.1
ягоды и фрукты;Апельсин валенсийский, Калифорния;1.0;0.3;9.4
ягоды и фрукты;Апельсин маринованный;0.6;0.0;8.9
ягоды и фрукты;Апельсин пупочный (сорт навел);0.9;0.2;10.3
ягоды и фрукты;Апельсин с цедрой;1.3;0.3;11.0
ягоды и фрукты;Апельсин Флорида;0.7;0.2;9.1
ягоды и фрукты;Апельсиновая цедра, сырая;1.5;0.2;14.4
ягоды и фрукты;Апельсиновый джем;0.4;0.1;66.3
ягоды и фрукты;Арбуз;0.6;0.1;5.8
ягоды и фрукты;Арбуз консервированный;0.5;0.1;9.0
ягоды и фрукты;Арбуз, сырой;0.6;0.2;7.2
ягоды и фрукты;Ацерола (барбадосская вишня);0.4;0.3;7.1
ягоды и фрукты;Банан;1.5;0.4;21.3
ягоды и фрукты;Барбарис;0.0;0.0;7.9
ягоды и фрукты;Бойзенова ягода, замороженная, неподслащенная;1.1;0.3;6.9
ягоды и фрукты;Бойзенова ягода, консервированная в насыщенном сахарном сиропе;1.0;0.1;19.7
ягоды и фрукты;Боярышник;0.0;0.0;14.0
ягоды и фрукты;Боярышник кроваво-красный;1.1;0.0;14.2
ягоды и фрукты;Брусника;0.7;0.5;8.7
ягоды и фрукты;Брусника моченая;0.3;0.2;5.3
ягоды и фрукты;Бузина;0.7;0.5;11.4
ягоды и фрукты;Бузина, сырая;0.7;0.5;11.4
ягоды и фрукты;Вакциниум сетчатый (охело );0.4;0.2;6.8
ягоды и фрукты;Варенье из айвы;0.4;0.2;70.6
ягоды и фрукты;Варенье из груши;0.3;0.2;70.8
ягоды и фрукты;Варенье из кизила;0.4;0.0;72.3
ягоды и фрукты;Варенье из клубники;0.3;0.1;74.0
ягоды и фрукты;Варенье из малины;0.6;0.2;70.4
ягоды и фрукты;Варенье из мандаринов;0.7;0.2;75.9
ягоды и фрукты;Варенье из персиков;0.5;0.0;66.8
ягоды и фрукты;Варенье из рябины черноплодной;0.4;0.0;74.8
ягоды и фрукты;Варенье из сливы;0.4;0.3;74.2
ягоды и фрукты;Варенье из яблок;0.4;0.3;68.2
ягоды и фрукты;Виноград;0.6;0.5;15.9
ягоды и фрукты;Виноград американский (с грубой кожурой);0.6;0.4;16.3
ягоды и фрукты;Виноград белый Дамские пальчики;0.6;0.2;13.5
ягоды и фрукты;Виноград белый кишмиш;0.7;0.2;17.2
ягоды и фрукты;Виноград киш-миш, консервированный в водной заливке;0.5;0.1;9.7
ягоды и фрукты;Виноград киш-миш, консервированный в насыщенном сахарном сиропе;0.5;0.1;19.1
ягоды и фрукты;Виноград фиолетовый ранний;0.6;0.2;16.8
ягоды и фрукты;Виноград, красный или белый, европейский (например, киш-миш);0.7;0.2;17.2
ягоды и фрукты;Виноград, мускатный;0.8;0.5;10.0
ягоды и фрукты;Вишневый компот. Консервы;0.6;0.3;23.7
ягоды и фрукты;Вишня;0.9;0.3;10.8
ягоды и фрукты;Вишня войлочная;0.0;0.0;9.0
ягоды и фрукты;Вишня замороженная;0.9;0.4;11.0
ягоды и фрукты;Вишня замороженная, неподслащенная;0.9;0.4;9.4
ягоды и фрукты;Вишня коктейльная, консервированная;0.2;0.2;38.8
ягоды и фрукты;Вишня консервированная;0.8;0.2;10.6
ягоды и фрукты;Вишня, консервированная в водной заливке;0.8;0.1;7.8
ягоды и фрукты;Вишня, консервированная в водной заливке, содержимое без жидкости;0.7;0.2;9.3
ягоды и фрукты;Вишня, консервированная в легком сахарном сиропе;0.7;0.1;18.5
ягоды и фрукты;Вишня, консервированная в насыщенном сахарном сиропе;0.7;0.1;22.2
ягоды и фрукты;Вишня, консервированная в экстра-насыщенном сахарном сиропе;0.7;0.1;28.4
ягоды и фрукты;Голубика;1.0;0.3;7.1
ягоды и фрукты;Гранадилла;0.5;0.1;8.0
ягоды и фрукты;Гранат;1.0;0.6;14.4
ягоды и фрукты;Грейпфрут;0.7;0.2;6.5
ягоды и фрукты;Грейпфрут белый;0.7;0.1;7.3
ягоды и фрукты;Грейпфрут белый, Калифорнийский;0.9;0.1;9.1
ягоды и фрукты;Грейпфрут белый, Флоридский;0.6;0.1;8.2
ягоды и фрукты;Грейпфрут розовый и красный;0.8;0.1;9.1
ягоды и фрукты;Грейпфрут розовый и красный, Калифорнийский и Аризонский;0.5;0.1;9.7
ягоды и фрукты;Грейпфрут розовый и красный, Флоридский;0.6;0.1;6.4
ягоды и фрукты;Грейпфрут, все виды;0.6;0.1;7.0
ягоды и фрукты;Грейпфрут, консервированный в водной заливке;0.6;0.1;8.8
ягоды и фрукты;Грейпфрут, консервированный в легком сахарном сиропе;0.6;0.1;15.0
ягоды и фрукты;Грейпфрут, консервированный в собственном соку;0.7;0.1;8.8
ягоды и фрукты;Груша;0.4;0.3;10.9
ягоды и фрукты;Груша азиатская (китайская);0.5;0.2;7.1
ягоды и фрукты;Груша Анжу зеленая;0.4;0.1;12.7
ягоды и фрукты;Груша Анжу красная;0.3;0.1;11.9
ягоды и фрукты;Груша Бартлетт (вильямс, дюшес);0.4;0.2;11.9
ягоды и фрукты;Груша Бере Боск;0.4;0.1;13.0
ягоды и фрукты;Грушевый компот. Консервы;0.2;0.2;18.1
ягоды и фрукты;Груши сушеные, тушеные без сахара;0.9;0.3;27.4
ягоды и фрукты;Груши сушеные, тушеные с сахаром;0.9;0.3;31.3
ягоды и фрукты;Груши, консервированные в водной заливке;0.2;0.0;6.2
ягоды и фрукты;Груши, консервированные в легком сахарном сиропе;0.2;0.0;13.6
ягоды и фрукты;Груши, консервированные в насыщенном сахарном сиропе;0.2;0.1;17.6
ягоды и фрукты;Груши, консервированные в насыщенном сахарном сиропе, сухой продукт;0.2;0.2;16.4
ягоды и фрукты;Груши, консервированные в собственном соку;0.3;0.1;11.3
ягоды и фрукты;Груши, консервированные в экстра-легком сахарном сиропе;0.3;0.1;10.6
ягоды и фрукты;Груши, консервированные в экстра-насыщенном сахарном сиропе;0.2;0.1;23.7
ягоды и фрукты;Гуава;2.6;1.0;8.9
ягоды и фрукты;Гуава земляничная;0.6;0.6;14.7
ягоды и фрукты;Гуава, соус, приготовленный;0.3;0.1;5.9
ягоды и фрукты;Гуарана;0.1;0.0;6.5
ягоды и фрукты;Джамболан (ямболан), сырой;0.7;0.2;15.6
ягоды и фрукты;Джекфрут (плод хлебного дерева);1.4;0.3;22.4
ягоды и фрукты;Джекфрут, консервированный в сахарном сиропе;0.4;0.1;23.0
ягоды и фрукты;Джекфрут, сырой;1.7;0.6;21.8
ягоды и фрукты;Дуриан;1.5;5.3;23.3
ягоды и фрукты;Дыня;0.6;0.3;7.4
ягоды и фрукты;Дыня белая мускатная;0.5;0.1;8.3
ягоды и фрукты;Дыня замороженная, шарики;0.8;0.3;7.2
ягоды и фрукты;Дыня зимняя, кассаба;1.1;0.1;5.7
ягоды и фрукты;Дыня медовая;0.6;0.3;7.4
ягоды и фрукты;Дыня мускусная, канталупа;0.8;0.2;7.3
ягоды и фрукты;Дыня рогатая, (кивано), огурец африканский;1.8;1.3;7.6
ягоды и фрукты;Ежевика;1.6;0.4;4.9
ягоды и фрукты;Ежевика дикая (Аляска);0.8;1.1;6.6
ягоды и фрукты;Ежевика, замороженная, неподслащенная;1.2;0.4;10.7
ягоды и фрукты;Ежевика, консервированная в насыщенном сахарном сиропе;1.3;0.1;19.7
ягоды и фрукты;Жердела;0.9;0.2;10.0
ягоды и фрукты;Жимолость;0.0;0.0;8.2
ягоды и фрукты;Звездное яблоко;0.5;0.4;15.3
ягоды и фрукты;Земляника;0.8;0.4;7.5
ягоды и фрукты;Инжир;0.7;0.2;13.5
ягоды и фрукты;Инжир, консервированный в водной заливке;0.4;0.1;11.8
ягоды и фрукты;Инжир, консервированный в легком сахарном сиропе;0.4;0.1;16.2
ягоды и фрукты;Инжир, консервированный в насыщенном сахарном сиропе;0.4;0.1;20.7
ягоды и фрукты;Инжир, консервированный в экстра-насыщенном сахарном сиропе;0.4;0.1;27.9
ягоды и фрукты;Ирга;0.0;0.0;11.7
ягоды и фрукты;Калина;0.2;0.8;6.8
ягоды и фрукты;Карамбола;1.0;0.2;5.5
ягоды и фрукты;Карисса, сырая;0.5;1.3;13.6
ягоды и фрукты;Келуак (кепаянг);2.3;2.0;17.7
ягоды и фрукты;Кивано;1.8;1.3;7.6
ягоды и фрукты;Киви;0.9;0.5;8.8
ягоды и фрукты;Киви свежее;1.1;0.5;11.7
ягоды и фрукты;Киви, джем;0.4;0.2;58.9
ягоды и фрукты;Киви, пюре;0.8;0.4;8.2
ягоды и фрукты;Кизил;1.0;0.0;9.8
ягоды и фрукты;Клементин;0.9;0.2;10.3
ягоды и фрукты;Клубника;0.8;0.4;7.5
ягоды и фрукты;Клубника замороженная;0.4;0.1;7.0
ягоды и фрукты;Клубника консервированная;0.6;0.3;16.1
ягоды и фрукты;Клубника ломтиками, замороженная, подслащенная;0.5;0.1;24.0
ягоды и фрукты;Клубника, сырая;0.7;0.3;5.7
ягоды и фрукты;Клубничный компот, клубника консервированная в сахарном сиропе;0.6;0.3;21.8
ягоды и фрукты;Клюква;0.5;0.1;5.6
ягоды и фрукты;Клюква сушеная, подслащенная;0.2;1.1;77.5
ягоды и фрукты;Клюквенно-апельсиновый соус, консервированный;0.3;0.1;46.2
ягоды и фрукты;Клюквенный соус желеобразный, консервированный, OCEAN SPRAY;1.1;0.0;39.6
ягоды и фрукты;Клюквенный соус, консервированный, подслащенный;0.9;0.2;39.3
ягоды и фрукты;Княженика;0.0;0.0;7.0
ягоды и фрукты;Компот из земляники. Консервы;0.0;0.0;0.0
ягоды и фрукты;Компот из слив венгерка. Консервы;0.5;0.1;23.9
ягоды и фрукты;Компот из слив ренклод. Консервы;0.3;0.0;21.9
ягоды и фрукты;Концентрат малинового сока;3.0;1.3;52.1
ягоды и фрукты;Корлан;0.7;0.2;18.0
ягоды и фрукты;Кратева священная;1.5;0.1;12.3
ягоды и фрукты;Крыжовник;0.7;0.3;9.0
ягоды и фрукты;Крыжовник, консервированный в легком сахарном сиропе;0.7;0.2;16.4
ягоды и фрукты;Кумкват;1.9;0.9;10.7
ягоды и фрукты;Лайм;0.8;0.2;5.4
ягоды и фрукты;Лимон;0.9;0.1;3.0
ягоды и фрукты;Лимон без цедры, сырые;1.1;0.3;6.5
ягоды и фрукты;Лимон маринованный;0.4;0.3;6.5
ягоды и фрукты;Лимон японский (Юзу);0.5;0.1;7.0
ягоды и фрукты;Лимонная цедра, сырая;1.5;0.3;5.4
ягоды и фрукты;Лимонник;1.0;0.0;1.9
ягоды и фрукты;Лимонник китайский, ягоды высушенные с семенами;0.0;40.3;13.3
ягоды и фрукты;Лимонник китайский, ягоды свежие без семян;0.0;0.0;2.2
ягоды и фрукты;Личи;0.8;0.4;14.9
ягоды и фрукты;Личи, сушеные;3.8;1.2;66.1
ягоды и фрукты;Логанова ягода;1.5;0.3;7.7
ягоды и фрукты;Логанова ягода, мороженная;1.5;0.3;7.7
ягоды и фрукты;Лонган;1.3;0.1;14.0
ягоды и фрукты;Лонган, сушеный;4.9;0.4;74.0
ягоды и фрукты;Лукума;0.1;0.1;7.9
ягоды и фрукты;Маболо;0.5;0.4;15.3
ягоды и фрукты;Магический фрукт;0.0;0.0;7.7
ягоды и фрукты;Малайское яблоко (Ямбоза);0.6;0.3;5.7
ягоды и фрукты;Малина;0.9;0.5;7.6
ягоды и фрукты;Малина дикая (индейцы северных великих равнин);1.1;0.3;6.4
ягоды и фрукты;Малина красная, замороженная;1.2;0.8;8.3
ягоды и фрукты;Малина красная, замороженная, подслащенная;0.7;0.2;21.8
ягоды и фрукты;Малина красная, консервированная в насыщенном сахарном сиропе;0.8;0.1;20.1
ягоды и фрукты;Малиновое пюре без семян, без сахара;1.0;0.9;7.1
ягоды и фрукты;Малиновое пюре с семенами, без сахара;1.1;1.0;7.2
ягоды и фрукты;Мамея (маммея), антильский абрикос, сырой;0.5;0.5;9.5
ягоды и фрукты;Маммея;0.5;0.5;9.5
ягоды и фрукты;Манго;0.7;0.4;12.8
ягоды и фрукты;Мангостан (мангостин);0.6;0.3;14.0
ягоды и фрукты;Мангостан (мангустин), консервированный в сиропе;0.4;0.6;16.1
ягоды и фрукты;Мандарин;0.8;0.2;8.5
ягоды и фрукты;Мандарин консервированный;0.6;0.3;8.9
ягоды и фрукты;Мандарин, консервированный в легком сахарном сиропе;0.5;0.1;15.5
ягоды и фрукты;Мандарин, консервированный в собственном соку;0.6;0.0;8.9
ягоды и фрукты;Мандарин, консервированный в собственном соку, сухой продукт;0.8;0.0;8.2
ягоды и фрукты;Мандариновый джем;0.3;0.0;71.8
ягоды и фрукты;Маракуйя;2.3;0.5;13.3
ягоды и фрукты;Маранг;2.5;0.7;27.3
ягоды и фрукты;Марула;0.6;0.5;9.6
ягоды и фрукты;Можжевельник, шишкоягоды;0.0;0.0;29.9
ягоды и фрукты;Мора;1.5;0.5;5.9
ягоды и фрукты;Морошка;0.8;0.6;8.2
ягоды и фрукты;Морошка (Аляска);2.4;0.8;8.6
ягоды и фрукты;Мушмула;0.4;0.2;10.4
ягоды и фрукты;Мушмула германская;0.0;0.0;12.0
ягоды и фрукты;Мушмула японская;0.4;0.2;10.4
ягоды и фрукты;Нансе фрукт (бирсонима толстолистная), замороженный;0.7;1.2;9.5
ягоды и фрукты;Нансе фрукт (бирсонима толстолистная), консервированный в сиропе;0.6;1.3;15.8
ягоды и фрукты;Наранхилла, замороженная;0.4;0.2;4.8
ягоды и фрукты;Нектарин;1.0;0.3;9.9
ягоды и фрукты;Нойна (Сахарное яблоко);0.4;0.4;9.8
ягоды и фрукты;Нони;0.1;0.3;10.0
ягоды и фрукты;Облепиха;1.2;5.4;5.7
ягоды и фрукты;Опунция (колючая груша);0.7;0.5;6.0
ягоды и фрукты;Папайя;0.5;0.2;9.1
ягоды и фрукты;Папайя, консервированная в насыщенном сиропе;0.1;0.6;54.3
ягоды и фрукты;Пассифлора голубая (Кавалерская звезда);2.4;0.4;13.4
ягоды и фрукты;Пектин жидкий;0.0;0.0;0.0
ягоды и фрукты;Пепино;0.0;0.0;20.0
ягоды и фрукты;Персик;0.9;0.1;9.6
ягоды и фрукты;Персик сушеный;3.0;0.4;57.7
ягоды и фрукты;Персики консервированные;0.3;0.1;14.7
ягоды и фрукты;Персики ломтиками, замороженные, подслащенные;0.6;0.1;22.2
ягоды и фрукты;Персики сушеные;3.6;0.8;53.1
ягоды и фрукты;Персики сушеные (дегидрированные);4.9;1.0;83.2
ягоды и фрукты;Персики сушеные (дегидрированные), тушеные;2.0;0.4;34.1
ягоды и фрукты;Персики сушеные, тушеные без сахара;1.2;0.3;17.0
ягоды и фрукты;Персики сушеные, тушеные с сахаром;1.1;0.2;24.2
ягоды и фрукты;Персики, консервированные в водной заливке;0.4;0.1;4.8
ягоды и фрукты;Персики, консервированные в легком сиропе;0.5;0.0;13.3
ягоды и фрукты;Персики, консервированные в насыщенном сиропе;0.5;0.1;18.6
ягоды и фрукты;Персики, консервированные в насыщенном сиропе, приправленные;0.4;0.1;18.8
ягоды и фрукты;Персики, консервированные в насыщенном сиропе, сухой продукт;0.5;0.2;17.2
ягоды и фрукты;Персики, консервированные в собственном соку;0.6;0.0;10.3
ягоды и фрукты;Персики, консервированные в экстра-легком сиропе;0.4;0.1;10.1
ягоды и фрукты;Персики, консервированные в экстра-насыщенном сиропе;0.5;0.0;25.1
ягоды и фрукты;Персиковый компот. Консервы;0.3;0.1;21.6
ягоды и фрукты;Питайя;0.5;0.3;12.0
ягоды и фрукты;Питанга (суринамская вишня), сырая;0.8;0.4;7.5
ягоды и фрукты;Плантан (овощной банан) желтый, жареный, латинский ресторан;1.4;7.5;37.6
ягоды и фрукты;Плантан (овощной банан) желтый, приготовленный;1.5;0.2;39.2
ягоды и фрукты;Плантан (овощной банан) желтый, сырой;1.3;0.4;30.2
ягоды и фрукты;Плантан (овощной банан) зеленый жареный;1.5;11.8;45.7
ягоды и фрукты;Плантан (овощной банан) зеленый, вареный;1.1;0.1;26.6
ягоды и фрукты;Плантан (овощной банан) зеленый, сырой;1.3;0.1;34.5
ягоды и фрукты;Плоды хлебного дерева, сырые;1.1;0.2;22.2
ягоды и фрукты;Плуот;1.2;0.1;11.0
ягоды и фрукты;Помело;0.7;0.1;8.0
ягоды и фрукты;Порошок из плодов баобаба;3.7;0.5;35.2
ягоды и фрукты;Рамбутан;0.6;0.2;19.0
ягоды и фрукты;Рамбутан, консервированный в сахарном сиропе;0.7;0.2;20.0
ягоды и фрукты;Розелла, сырая;1.0;0.6;11.3
ягоды и фрукты;Рябина;1.5;0.1;10.9
ягоды и фрукты;Рябина садовая красная;1.4;0.2;8.9
ягоды и фрукты;Рябина черноплодная;1.5;0.2;10.9
ягоды и фрукты;Салакка;0.0;0.0;12.0
ягоды и фрукты;Саподилла;0.4;1.1;14.7
ягоды и фрукты;Саподилла, сырая;0.4;1.1;14.7
ягоды и фрукты;Сапота (мармеладный плод), сырая;1.5;0.5;26.7
ягоды и фрукты;Сапота (Черное яблоко);2.1;0.6;31.2
ягоды и фрукты;Саусеп (сметанное яблоко) сырой;1.0;0.3;13.5
ягоды и фрукты;Сахарные яблоки (анона), сырые;2.1;0.3;19.2
ягоды и фрукты;Свити;0.7;0.2;9.0
ягоды и фрукты;Сизигиум;0.6;0.3;5.6
ягоды и фрукты;Слива;0.8;0.3;9.7
ягоды и фрукты;Слива вишненосная, алыча;0.2;0.1;7.9
ягоды и фрукты;Слива дикая, северо-американская;0.4;0.2;16.0
ягоды и фрукты;Слива Мирабель (желтая слива);1.0;0.0;7.5
ягоды и фрукты;Слива синяя, консервированная в водной заливке;0.4;0.0;10.1
ягоды и фрукты;Слива синяя, консервированная в легком сахарном сиропе;0.4;0.1;15.4
ягоды и фрукты;Слива синяя, консервированная в насыщенном сахарном сиропе;0.4;0.1;22.3
ягоды и фрукты;Слива синяя, консервированная в собственном соку;0.5;0.0;14.3
ягоды и фрукты;Слива синяя, консервированная в экстра-насыщенном сахарном сиропе;0.4;0.1;25.3
ягоды и фрукты;Сливы, консервированные в насыщенном сиропе, сухой продукт;0.4;0.1;21.6
ягоды и фрукты;Смородина белая;0.5;0.2;8.0
ягоды и фрукты;Смородина красная;0.6;0.2;7.7
ягоды и фрукты;Смородина черная;1.0;0.4;7.3
ягоды и фрукты;Смородина черная, европейская;1.4;0.4;15.4
ягоды и фрукты;Тамарилло;0.0;0.0;12.5
ягоды и фрукты;Тамаринд, сырой;2.8;0.6;57.4
ягоды и фрукты;Танжело;1.0;1.0;13.0
ягоды и фрукты;Танжерин;0.8;0.3;11.5
ягоды и фрукты;Терн;1.5;0.3;9.4
ягоды и фрукты;Фейхоа;0.8;0.6;15177.3
ягоды и фрукты;Ферония (Деревянное яблоко);0.3;0.2;12.0
ягоды и фрукты;Физалис;1.9;0.7;11.2
ягоды и фрукты;Финик, королевский;1.8;0.2;68.3
ягоды и фрукты;Финики;2.5;0.5;69.2
ягоды и фрукты;Финики Деглет нур;2.5;0.4;67.0
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в водной заливке;0.4;0.1;7.5
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в легком сахарном сиропе;0.4;0.1;13.9
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в насыщенном сахарном сиропе;0.4;0.1;17.9
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в собственном соку;0.5;0.0;10.9
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-легком сахарном сиропе;0.4;0.1;10.5
ягоды и фрукты;Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-насыщенном сахарном сиропе;0.4;0.1;21.8
ягоды и фрукты;Фруктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт;0.5;0.1;17.1
ягоды и фрукты;Фруктовый салат (ананас, папайя, банан и гуава), консервированный в насыщенном сиропе;0.4;0.1;21.1
ягоды и фрукты;Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в водной заливке;0.4;0.1;6.9
ягоды и фрукты;Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в легком сиропе;0.3;0.1;14.1
ягоды и фрукты;Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в собственном соку;0.5;0.0;12.1
ягоды и фрукты;Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в экстра-насыщенном сахарном сиропе;0.3;0.1;21.8
ягоды и фрукты;Хурма;0.5;0.4;15.3
ягоды и фрукты;Хурма виргинская;0.7;0.4;24.4
ягоды и фрукты;Хурма восточная;0.6;0.2;15.0
ягоды и фрукты;Хурма восточная, сушеная;1.4;0.6;58.9
ягоды и фрукты;Цабр;0.7;0.5;6.0
ягоды и фрукты;Цитрон;0.9;0.1;3.0
ягоды и фрукты;Цитрон Рука Будды;0.9;0.1;3.0
ягоды и фрукты;Чемпедак;2.1;0.6;26.1
ягоды и фрукты;Черемуха;0.0;0.0;10.0
ягоды и фрукты;Черемуха виргинская, северо-американская;3.0;1.7;13.6
ягоды и фрукты;Черешневый компот. Консервы;0.5;0.2;20.6
ягоды и фрукты;Черешня;1.1;0.4;11.7
ягоды и фрукты;Черешня, консервированная в водной заливке;0.8;0.1;10.3
ягоды и фрукты;Черешня, консервированная в легком сиропе;0.6;0.2;15.8
ягоды и фрукты;Черешня, консервированная в насыщенном сиропе;0.6;0.2;19.9
ягоды и фрукты;Черешня, консервированная в насыщенном сиропе, сухой продукт;0.7;0.2;18.8
ягоды и фрукты;Черешня, консервированная в собственном соку;0.9;0.0;12.3
ягоды и фрукты;Черешня, консервированная в экстра-насыщенном сиропе;0.6;0.2;24.7
ягоды и фрукты;Черимойя;1.6;0.6;15.1
ягоды и фрукты;Черника;1.0;0.5;8.7
ягоды и фрукты;Черника дикая (Аляска);1.2;0.8;9.7
ягоды и фрукты;Черника дикая замороженная, (Аляска);0.7;0.0;10.4
ягоды и фрукты;Черника дикая, замороженная;0.0;0.2;9.5
ягоды и фрукты;Черника дикая, консервированная в насыщенном сиропе;0.6;0.3;23.4
ягоды и фрукты;Черника сушеная, подслащенная;2.5;2.5;72.5
ягоды и фрукты;Черника, замороженная, неподслащенная;0.4;0.6;9.5
ягоды и фрукты;Черника, замороженная, подслащенная;0.4;0.1;19.8
ягоды и фрукты;Черника, консервированная в легком сахарном сиропе, сухой продукт;1.0;0.4;20.1
ягоды и фрукты;Черника, консервированная в насыщенном сахарном сиропе;0.7;0.3;20.5
ягоды и фрукты;Черника, сырая (Аляска);0.4;0.1;8.7
ягоды и фрукты;Черноплодная рябина;1.5;0.2;10.9
ягоды и фрукты;Чупа-чупа (Матизия сердечная);0.5;0.3;15.2
ягоды и фрукты;Шелковица;0.9;0.3;11.2
ягоды и фрукты;Шефердия серебристая;0.5;0.2;3.7
ягоды и фрукты;Шиповник дикий, северо-американский;1.6;0.3;14.1
ягоды и фрукты;Шиповник свежий;1.6;0.5;19.6
ягоды и фрукты;Шиповник сухой;3.4;1.4;48.3
ягоды и фрукты;Ююба, сушеная;4.7;0.5;66.5
ягоды и фрукты;Ююба, сырая;1.2;0.2;20.2
ягоды и фрукты;Яблоки в сиропе. Консервы;0.2;0.1;11.5
ягоды и фрукты;Яблоки дикие;0.4;0.3;20.0
ягоды и фрукты;Яблоко;0.4;0.4;9.8
ягоды и фрукты;Яблоко без кожуры;0.3;0.1;11.5
ягоды и фрукты;Яблоко без кожуры, вареное;0.3;0.4;11.2
ягоды и фрукты;Яблоко без кожуры, приготовленное в микроволновой печи;0.3;0.4;11.6
ягоды и фрукты;Яблоко Гала;0.3;0.1;11.4
ягоды и фрукты;Яблоко Голден;0.4;0.2;11.0
ягоды и фрукты;Яблоко Гренни Смит;0.4;0.3;10.3
ягоды и фрукты;Яблоко замороженное;0.3;0.3;11.0
ягоды и фрукты;Яблоко замороженное, разогретое;0.3;0.3;10.7
ягоды и фрукты;Яблоко ломтиками, консервированное, подслащенное, сухой продукт без маринада, разогретые;0.2;0.4;14.8
ягоды и фрукты;Яблоко печеное кисло-сладкое;0.5;0.5;12.3
ягоды и фрукты;Яблоко печеное сладкое;0.5;0.3;24.0
ягоды и фрукты;Яблоко Ред Делишес;0.3;0.2;11.8
ягоды и фрукты;Яблоко сушеное;2.2;0.1;59.0
ягоды и фрукты;Яблоко сушеное (дегидрированное), сульфитированное;1.3;0.6;81.1
ягоды и фрукты;Яблоко сушеное (дегидрированное), тушеное;0.3;0.1;17.3
ягоды и фрукты;Яблоко сушеное, сульфитированное;0.9;0.3;57.2
ягоды и фрукты;Яблоко сушеное, тушеное без сахара;0.2;0.1;13.3
ягоды и фрукты;Яблоко сушеное, тушеное с сахаром;0.2;0.1;18.8
ягоды и фрукты;Яблоко Фуджи;0.3;0.2;16.1
ягоды и фрукты;Яблочное повидло;0.4;0.0;65.0
ягоды и фрукты;Яблочное пюре;0.6;0.2;19.0
ягоды и фрукты;Яблочный жмых;0.3;0.2;10.4
ягоды и фрукты;Яблочный компот. Консервы;0.2;0.2;22.3
ягоды и фрукты;Яблочный соус, консервированный, неподслащенный, без добавления аскорбиновой кислоты;0.2;0.1;10.2
